TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005783	endoplasmic reticulum	1.14462772165318e-06	-13.6804311077529	1196	15	0.3	50	16836	20775,13121,20250,74754,170439,76854,21983,76267,20249,16987,19223,13360,66234,56473,74205	Sqle,Cyp51,Scd2,Dhcr24,Elovl6,Gper1,Tpbg,Fads1,Scd1,Lss,Ptgis,Dhcr7,Msmo1,Fads2,Acsl3
GO:0043226	organelle	0.000124271232391807	-8.99304402314552	9909	42	0.84	50	16836	110460,20250,68971,68479,94062,66234,105348,21849,68016,19655,14118,269951,74754,71242,76854,56473,100340,83397,13121,16773,15331,59013,20249,229517,19223,17988,13360,53379,11799,70369,110196,18074,20775,68276,12834,170439,21983,238871,76267,16987,170459,74205	Acat2,Scd2,Tamm41,Phf5a,Mrpl3,Msmo1,Golm1,Trim28,Murc,Rbmx,Fbn1,Idh2,Dhcr24,Spata24,Gper1,Fads2,Smpdl3b,Akap12,Cyp51,Lama2,Hmgn2,Hnrnph1,Scd1,Slc25a44,Ptgis,Ndrg1,Dhcr7,Hnrnpa2b1,Birc5,Bag5,Fdps,Nid2,Sqle,Toe1,Col6a2,Elovl6,Tpbg,Pde4d,Fads1,Lss,Stard4,Acsl3
GO:0005681	spliceosomal complex	0.000527770769174702	-7.54684851781844	126	4	0.08	50	16836	59013,53379,19655,68479	Hnrnph1,Hnrnpa2b1,Rbmx,Phf5a
GO:0043227	membrane-bounded organelle	0.00059218991260153	-7.43168317621165	9244	39	0.78	50	16836	110460,20250,68971,68479,94062,66234,105348,21849,19655,14118,269951,74754,71242,76854,56473,100340,13121,16773,15331,20249,229517,59013,19223,17988,13360,53379,11799,70369,110196,18074,20775,68276,12834,170439,21983,76267,16987,170459,74205	Acat2,Scd2,Tamm41,Phf5a,Mrpl3,Msmo1,Golm1,Trim28,Rbmx,Fbn1,Idh2,Dhcr24,Spata24,Gper1,Fads2,Smpdl3b,Cyp51,Lama2,Hmgn2,Scd1,Slc25a44,Hnrnph1,Ptgis,Ndrg1,Dhcr7,Hnrnpa2b1,Birc5,Bag5,Fdps,Nid2,Sqle,Toe1,Col6a2,Elovl6,Tpbg,Fads1,Lss,Stard4,Acsl3
GO:0071013	catalytic step 2 spliceosome	0.00094573108874735	-6.96355229068875	65	3	0.06	50	16836	59013,53379,19655	Hnrnph1,Hnrnpa2b1,Rbmx
GO:0012505	endomembrane system	0.0010158957449248	-6.89198454835394	2625	17	0.34	50	16836	13121,20250,20249,13360,17988,19223,66234,105348,20775,74754,21983,76854,170439,76267,16987,56473,74205	Cyp51,Scd2,Scd1,Dhcr7,Ndrg1,Ptgis,Msmo1,Golm1,Sqle,Dhcr24,Tpbg,Gper1,Elovl6,Fads1,Lss,Fads2,Acsl3
GO:0044444	cytoplasmic part	0.00109225143185372	-6.81951417921235	5405	27	0.54	50	16836	110460,13121,20250,68971,94062,229517,20249,13360,17988,19223,66234,11799,105348,110196,70369,20775,68016,269951,74754,170439,21983,76854,76267,16987,56473,170459,74205	Acat2,Cyp51,Scd2,Tamm41,Mrpl3,Slc25a44,Scd1,Dhcr7,Ndrg1,Ptgis,Msmo1,Birc5,Golm1,Fdps,Bag5,Sqle,Murc,Idh2,Dhcr24,Elovl6,Tpbg,Gper1,Fads1,Lss,Fads2,Stard4,Acsl3
GO:0005719	nuclear euchromatin	0.00114254859181338	-6.77449390497265	17	2	0.04	50	16836	19655,21849	Rbmx,Trim28
GO:0019028	viral capsid	0.0015871503528005	-6.44581510166048	20	2	0.04	50	16836	59013,53379	Hnrnph1,Hnrnpa2b1
GO:0019013	viral nucleocapsid	0.0015871503528005	-6.44581510166048	20	2	0.04	50	16836	59013,53379	Hnrnph1,Hnrnpa2b1
