TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu00100	Steroid biosynthesis	2.7688774445277e-11	-24.3099940395563	18	6	0.24	25	6607	20775,13121,16987,13360,66234,74754	Sqle,Cyp51,Lss,Dhcr7,Msmo1,Dhcr24
ko00100	Steroid biosynthesis	2.7688774445277e-11	-24.3099940395563	18	6	0.24	25	6607	20775,16987,13360,13121,66234,74754	Sqle,Lss,Dhcr7,Cyp51,Msmo1,Dhcr24
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	1.26202548637332e-10	-22.7931329708009	10	5	0.2	25	6607	13121,16987,13360,66234,74754	Cyp51,Lss,Dhcr7,Msmo1,Dhcr24
mmu_M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol	1.26202548637332e-10	-22.7931329708009	10	5	0.2	25	6607	13121,16987,13360,66234,74754	Cyp51,Lss,Dhcr7,Msmo1,Dhcr24
mmu01212	Fatty acid metabolism	1.55105924896755e-10	-22.5869128459808	44	7	0.28	25	6607	110460,76267,20249,56473,20250,170439,74205	Acat2,Fads1,Scd1,Fads2,Scd2,Elovl6,Acsl3
ko01212	Fatty acid metabolism	1.55105924896755e-10	-22.5869128459808	44	7	0.28	25	6607	110460,76267,20249,56473,20250,170439,74205	Acat2,Fads1,Scd1,Fads2,Scd2,Elovl6,Acsl3
mmu01040	Biosynthesis of unsaturated fatty acids	1.63064684772185e-08	-17.9317039687603	23	5	0.2	25	6607	76267,20249,56473,20250,170439	Fads1,Scd1,Fads2,Scd2,Elovl6
ko01040	Biosynthesis of unsaturated fatty acids	1.63064684772185e-08	-17.9317039687603	23	5	0.2	25	6607	76267,20249,56473,20250,170439	Fads1,Scd1,Fads2,Scd2,Elovl6
mmu03320	PPAR signaling pathway	0.000161738853600311	-8.72952753823868	75	4	0.16	25	6607	20249,56473,20250,74205	Scd1,Fads2,Scd2,Acsl3
ko03320	PPAR signaling pathway	0.000161738853600311	-8.72952753823868	75	4	0.16	25	6607	20249,56473,20250,74205	Scd1,Fads2,Scd2,Acsl3
ko00900	Terpenoid backbone biosynthesis	0.00180561686354095	-6.31685299292717	17	2	0.08	25	6607	110460,110196	Acat2,Fdps
