TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0016215	acyl-CoA desaturase activity	3.37517131436027e-09	-19.5068197540997	8	4	0.0888888888888889	45	16471	76267,20249,56473,20250	Fads1,Scd1,Fads2,Scd2
GO:0016717	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	1.00852227709507e-08	-18.4121945764485	10	4	0.0888888888888889	45	16471	76267,20249,56473,20250	Fads1,Scd1,Fads2,Scd2
GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	1.22276687143952e-08	-18.2195645256634	163	8	0.177777777777778	45	16471	76267,20775,20249,13121,19223,66234,56473,20250	Fads1,Sqle,Scd1,Cyp51,Ptgis,Msmo1,Fads2,Scd2
GO:0005506	iron ion binding	1.60439126685325e-07	-15.6453512393072	151	7	0.155555555555556	45	16471	76267,20249,13121,19223,66234,56473,20250	Fads1,Scd1,Cyp51,Ptgis,Msmo1,Fads2,Scd2
GO:0004768	stearoyl-CoA 9-desaturase activity	1.89840945133178e-07	-15.4770792462537	5	3	0.0666666666666667	45	16471	20249,56473,20250	Scd1,Fads2,Scd2
GO:0016491	oxidoreductase activity	1.10071643889001e-06	-13.7195492820872	657	11	0.244444444444444	45	16471	20775,13121,20250,269951,74754,76267,20249,19223,13360,66234,56473	Sqle,Cyp51,Scd2,Idh2,Dhcr24,Fads1,Scd1,Ptgis,Dhcr7,Msmo1,Fads2
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	0.000107472772457698	-9.13827302194049	34	3	0.0666666666666667	45	16471	20775,13121,66234	Sqle,Cyp51,Msmo1
GO:0020037	heme binding	0.00023525126843725	-8.35485638764403	111	4	0.0888888888888889	45	16471	76267,13121,19223,56473	Fads1,Cyp51,Ptgis,Fads2
GO:0046906	tetrapyrrole binding	0.000269410718545808	-8.21927350804671	115	4	0.0888888888888889	45	16471	76267,13121,19223,56473	Fads1,Cyp51,Ptgis,Fads2
GO:0004497	monooxygenase activity	0.000307000244627259	-8.08866201354593	119	4	0.0888888888888889	45	16471	20775,13121,19223,66234	Sqle,Cyp51,Ptgis,Msmo1
