TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
5893434	Cholesterol biosynthesis	4.23860314433218e-13	-28.4893724410498	18	7	0.259259259259259	27	6134	20775,13121,16987,13360,66234,74754,110196	Sqle,Cyp51,Lss,Dhcr7,Msmo1,Dhcr24,Fdps
5894006	Activation of gene expression by SREBF (SREBP)	4.10278576371126e-09	-19.3115996393972	33	6	0.222222222222222	27	6134	20775,13121,16987,13360,170439,110196	Sqle,Cyp51,Lss,Dhcr7,Elovl6,Fdps
5894007	Regulation of cholesterol biosynthesis by SREBP (SREBF)	3.81663378600783e-08	-17.0813119176771	47	6	0.222222222222222	27	6134	20775,13121,16987,13360,170439,110196	Sqle,Cyp51,Lss,Dhcr7,Elovl6,Fdps
5892799	Metabolism of lipids and lipoproteins	5.63903618762678e-06	-12.0857973957761	522	11	0.407407407407407	27	6134	20775,13121,74754,170439,76267,19223,13360,16987,66234,56473,110196	Sqle,Cyp51,Dhcr24,Elovl6,Fads1,Ptgis,Dhcr7,Lss,Msmo1,Fads2,Fdps
5894052	Linoleic acid (LA) metabolism	0.000111354522860522	-9.1027915466707	4	2	0.0740740740740741	27	6134	76267,56473	Fads1,Fads2
5894054	alpha-linolenic acid (ALA) metabolism	0.000821644705194619	-7.10420248847066	10	2	0.0740740740740741	27	6134	76267,56473	Fads1,Fads2
5894053	alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	0.000821644705194619	-7.10420248847066	10	2	0.0740740740740741	27	6134	76267,56473	Fads1,Fads2
5892843	mRNA Splicing	0.000977681981803704	-6.93032611278918	103	4	0.148148148148148	27	6134	59013,53379,19655,68479	Hnrnph1,Hnrnpa2b1,Rbmx,Phf5a
5892842	mRNA Splicing - Major Pathway	0.000977681981803704	-6.93032611278918	103	4	0.148148148148148	27	6134	59013,53379,19655,68479	Hnrnph1,Hnrnpa2b1,Rbmx,Phf5a
5892841	Processing of Capped Intron-Containing Pre-mRNA	0.00238169689697423	-6.03994206342767	131	4	0.148148148148148	27	6134	59013,53379,19655,68479	Hnrnph1,Hnrnpa2b1,Rbmx,Phf5a
5892760	Metabolism	0.00299847389223096	-5.80965182233677	1385	13	0.481481481481481	27	6134	20775,13121,104110,269951,74754,170439,76267,19223,13360,16987,66234,56473,110196	Sqle,Cyp51,Adcy4,Idh2,Dhcr24,Elovl6,Fads1,Ptgis,Dhcr7,Lss,Msmo1,Fads2,Fdps
5893598	Laminin interactions	0.00337627395208615	-5.69098255859571	20	2	0.0740740740740741	27	6134	16773,18074	Lama2,Nid2
