TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0006335	DNA replication-dependent nucleosome assembly	3.40113191232552e-15	-33.3146681033027	23	10	0.065359477124183	153	16596	97908,69386,319160,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4h,Hist1h4k,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
GO:0034723	DNA replication-dependent nucleosome organization	3.40113191232552e-15	-33.3146681033027	23	10	0.065359477124183	153	16596	97908,69386,319160,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4h,Hist1h4k,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
GO:0045653	negative regulation of megakaryocyte differentiation	2.98256669012717e-11	-24.235651787716	15	7	0.0457516339869281	153	16596	69386,319155,319160,319157,100041230,319159,319158	Hist1h4h,Hist1h4c,Hist1h4k,Hist1h4f,Hist1h4m,Hist1h4j,Hist1h4i
GO:0006334	nucleosome assembly	1.98819147885709e-10	-22.3386255090118	61	10	0.065359477124183	153	16596	97908,69386,319160,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4h,Hist1h4k,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
GO:1901533	negative regulation of hematopoietic progenitor cell differentiation	2.2643740845903e-10	-22.2085525515393	19	7	0.0457516339869281	153	16596	69386,319155,319160,319157,100041230,319159,319158	Hist1h4h,Hist1h4c,Hist1h4k,Hist1h4f,Hist1h4m,Hist1h4j,Hist1h4i
GO:0006336	DNA replication-independent nucleosome assembly	5.14537757270909e-10	-21.3877521770091	21	7	0.0457516339869281	153	16596	69386,319155,319160,319157,100041230,319159,319158	Hist1h4h,Hist1h4c,Hist1h4k,Hist1h4f,Hist1h4m,Hist1h4j,Hist1h4i
GO:0034724	DNA replication-independent nucleosome organization	5.14537757270909e-10	-21.3877521770091	21	7	0.0457516339869281	153	16596	69386,319155,319160,319157,100041230,319159,319158	Hist1h4h,Hist1h4c,Hist1h4k,Hist1h4f,Hist1h4m,Hist1h4j,Hist1h4i
GO:0031497	chromatin assembly	7.03983246975122e-10	-21.074266556964	69	10	0.065359477124183	153	16596	97908,69386,319160,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4h,Hist1h4k,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
GO:0045652	regulation of megakaryocyte differentiation	1.49643352035154e-09	-20.3201812130428	24	7	0.0457516339869281	153	16596	69386,319155,319160,319157,100041230,319159,319158	Hist1h4h,Hist1h4c,Hist1h4k,Hist1h4f,Hist1h4m,Hist1h4j,Hist1h4i
GO:0034728	nucleosome organization	3.53879487187215e-09	-19.4594795994353	81	10	0.065359477124183	153	16596	97908,69386,319160,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4h,Hist1h4k,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
GO:0065004	protein-DNA complex assembly	3.99873577472193e-09	-19.3372875821024	82	10	0.065359477124183	153	16596	97908,69386,319160,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4h,Hist1h4k,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
