TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0031982	vesicle	2.79385881473673e-06	-12.7880868299966	2775	49	0.314102564102564	156	16836	27419,11747,319157,68024,319179,54673,12751,319155,20344,11668,16009,68666,13829,69386,319160,56434,64933,97114,69601,14419,100041230,319159,16456,20196,97908,18762,16520,319183,18645,12064,109620,67963,319149,382985,53945,12508,15586,12293,319187,81799,20618,319158,20257,11671,319186,12716,67880,269589,16008	Naglu,Anxa5,Hist1h4f,Hist1h2bc,Hist1h2be,Sh3glb1,Tpp1,Hist1h4c,Selp,Aldh1a1,Igfbp3,Svop,Dmtn,Hist1h4h,Hist1h4k,Tspan3,Ap3m2,Hist2h3c2,Dab2ip,Gal,Hist1h4m,Hist1h4j,F11r,S100a13,Hist1h3g,Prkcz,Kcnj4,Hist1h2bj,Pfn2,Bdnf,Dsp,Npc2,Hist1h3d,Rrm2b,Slc40a1,Cd53,Hyal1,Cacna2d1,Hist1h2bn,C1qtnf3,Sncg,Hist1h4i,Stmn2,Aldh3a2,Hist1h2bm,Ckmt1,Dcxr,Sytl1,Igfbp2
GO:0031988	membrane-bounded vesicle	4.384326104182e-06	-12.337474626007	2568	46	0.294871794871795	156	16836	27419,11747,319157,68024,319179,12751,54673,319155,20344,11668,16009,68666,13829,69386,319160,56434,97114,69601,14419,100041230,319159,16456,20196,97908,18762,319183,18645,12064,109620,67963,319149,382985,53945,12508,15586,12293,319187,81799,20618,319158,11671,319186,12716,67880,269589,16008	Naglu,Anxa5,Hist1h4f,Hist1h2bc,Hist1h2be,Tpp1,Sh3glb1,Hist1h4c,Selp,Aldh1a1,Igfbp3,Svop,Dmtn,Hist1h4h,Hist1h4k,Tspan3,Hist2h3c2,Dab2ip,Gal,Hist1h4m,Hist1h4j,F11r,S100a13,Hist1h3g,Prkcz,Hist1h2bj,Pfn2,Bdnf,Dsp,Npc2,Hist1h3d,Rrm2b,Slc40a1,Cd53,Hyal1,Cacna2d1,Hist1h2bn,C1qtnf3,Sncg,Hist1h4i,Aldh3a2,Hist1h2bm,Ckmt1,Dcxr,Sytl1,Igfbp2
GO:0044421	extracellular region part	4.68482480333083e-06	-12.2711820382067	2910	50	0.320512820512821	156	16836	11689,27419,11747,319157,68024,319179,54673,12751,319155,20344,11668,16009,69386,235379,319160,56434,97114,69601,14419,100041230,319159,50781,18812,16456,20196,97908,18762,319183,18645,12064,109620,67963,319149,382985,12508,83964,109857,15586,12293,319184,319187,81799,18788,20618,319158,11671,319186,12716,67880,16008	Alox5,Naglu,Anxa5,Hist1h4f,Hist1h2bc,Hist1h2be,Sh3glb1,Tpp1,Hist1h4c,Selp,Aldh1a1,Igfbp3,Hist1h4h,Gldn,Hist1h4k,Tspan3,Hist2h3c2,Dab2ip,Gal,Hist1h4m,Hist1h4j,Dkk3,Prl2c3,F11r,S100a13,Hist1h3g,Prkcz,Hist1h2bj,Pfn2,Bdnf,Dsp,Npc2,Hist1h3d,Rrm2b,Cd53,Jam3,Cbr3,Hyal1,Cacna2d1,Hist1h2bk,Hist1h2bn,C1qtnf3,Serpinb2,Sncg,Hist1h4i,Aldh3a2,Hist1h2bm,Ckmt1,Dcxr,Igfbp2
GO:0070062	extracellular vesicular exosome	1.20918040157209e-05	-11.3229826889421	2092	39	0.25	156	16836	27419,11747,319157,68024,319179,54673,12751,319155,11668,16009,69386,319160,56434,97114,69601,100041230,319159,20196,16456,97908,18762,319183,18645,109620,67963,319149,382985,12508,15586,12293,319187,81799,20618,319158,11671,319186,12716,67880,16008	Naglu,Anxa5,Hist1h4f,Hist1h2bc,Hist1h2be,Sh3glb1,Tpp1,Hist1h4c,Aldh1a1,Igfbp3,Hist1h4h,Hist1h4k,Tspan3,Hist2h3c2,Dab2ip,Hist1h4m,Hist1h4j,S100a13,F11r,Hist1h3g,Prkcz,Hist1h2bj,Pfn2,Dsp,Npc2,Hist1h3d,Rrm2b,Cd53,Hyal1,Cacna2d1,Hist1h2bn,C1qtnf3,Sncg,Hist1h4i,Aldh3a2,Hist1h2bm,Ckmt1,Dcxr,Igfbp2
GO:0043230	extracellular organelle	1.30756854920145e-05	-11.2447561217	2099	39	0.25	156	16836	27419,11747,319157,68024,319179,54673,12751,319155,11668,16009,69386,319160,56434,97114,69601,100041230,319159,20196,16456,97908,18762,319183,18645,109620,67963,319149,382985,12508,15586,12293,319187,81799,20618,319158,11671,319186,12716,67880,16008	Naglu,Anxa5,Hist1h4f,Hist1h2bc,Hist1h2be,Sh3glb1,Tpp1,Hist1h4c,Aldh1a1,Igfbp3,Hist1h4h,Hist1h4k,Tspan3,Hist2h3c2,Dab2ip,Hist1h4m,Hist1h4j,S100a13,F11r,Hist1h3g,Prkcz,Hist1h2bj,Pfn2,Dsp,Npc2,Hist1h3d,Rrm2b,Cd53,Hyal1,Cacna2d1,Hist1h2bn,C1qtnf3,Sncg,Hist1h4i,Aldh3a2,Hist1h2bm,Ckmt1,Dcxr,Igfbp2
GO:0065010	extracellular membrane-bounded organelle	1.30756854920145e-05	-11.2447561217	2099	39	0.25	156	16836	27419,11747,319157,68024,319179,54673,12751,319155,11668,16009,69386,319160,56434,97114,69601,100041230,319159,20196,16456,97908,18762,319183,18645,109620,67963,319149,382985,12508,15586,12293,319187,81799,20618,319158,11671,319186,12716,67880,16008	Naglu,Anxa5,Hist1h4f,Hist1h2bc,Hist1h2be,Sh3glb1,Tpp1,Hist1h4c,Aldh1a1,Igfbp3,Hist1h4h,Hist1h4k,Tspan3,Hist2h3c2,Dab2ip,Hist1h4m,Hist1h4j,S100a13,F11r,Hist1h3g,Prkcz,Hist1h2bj,Pfn2,Dsp,Npc2,Hist1h3d,Rrm2b,Cd53,Hyal1,Cacna2d1,Hist1h2bn,C1qtnf3,Sncg,Hist1h4i,Aldh3a2,Hist1h2bm,Ckmt1,Dcxr,Igfbp2
GO:0005576	extracellular region	1.33491041297204e-05	-11.2240612817577	3458	55	0.352564102564103	156	16836	11689,330260,27419,11747,319157,68024,319179,12751,54673,319155,20344,11668,16009,69386,235379,319160,56434,106014,22156,97114,69601,14419,100041230,319159,50781,18812,16456,20196,97908,18762,78408,319183,18645,12064,109620,71690,67963,319149,382985,12508,83964,109857,15586,319184,12293,319187,81799,18788,20618,319158,11671,319186,12716,67880,16008	Alox5,Pon2,Naglu,Anxa5,Hist1h4f,Hist1h2bc,Hist1h2be,Tpp1,Sh3glb1,Hist1h4c,Selp,Aldh1a1,Igfbp3,Hist1h4h,Gldn,Hist1h4k,Tspan3,Fam19a5,Tuft1,Hist2h3c2,Dab2ip,Gal,Hist1h4m,Hist1h4j,Dkk3,Prl2c3,F11r,S100a13,Hist1h3g,Prkcz,Fam131a,Hist1h2bj,Pfn2,Bdnf,Dsp,Esm1,Npc2,Hist1h3d,Rrm2b,Cd53,Jam3,Cbr3,Hyal1,Hist1h2bk,Cacna2d1,Hist1h2bn,C1qtnf3,Serpinb2,Sncg,Hist1h4i,Aldh3a2,Hist1h2bm,Ckmt1,Dcxr,Igfbp2
GO:0005694	chromosome	8.66654235839286e-05	-9.35345555898208	636	17	0.108974358974359	156	16836	97908,319157,319155,67117,319182,319149,319184,319160,29871,69386,319158,319186,97114,22092,319159,17258,100041230	Hist1h3g,Hist1h4f,Hist1h4c,Dynlt3,Hist1h2bh,Hist1h3d,Hist1h2bk,Hist1h4k,Scmh1,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Rsph1,Hist1h4j,Mef2a,Hist1h4m
GO:0005622	intracellular	8.79078583511241e-05	-9.3392213562325	10538	120	0.769230769230769	156	16836	15413,15476,11689,13666,76820,319157,13865,68024,80880,100121,246293,319179,12751,54673,319155,16009,67117,104601,13829,17314,22156,100737,97114,69601,11655,14419,54720,100041230,52323,29859,20196,18762,16520,319183,56226,12064,50493,26358,15414,270084,53945,170719,19116,17702,29819,15586,319187,29871,319158,20618,319186,67880,15402,232984,269589,22092,26757,11981,333182,78070,76615,98267,93806,11747,13047,330260,83395,228875,11803,233280,70750,11668,20344,319182,12443,15399,68666,229644,69386,319160,16543,52906,64933,26943,235674,20465,319159,17258,544817,18812,16456,97908,20708,18645,215494,67830,109620,73284,20454,72148,67963,20818,319149,382985,109857,319184,12293,19737,15425,234593,18788,66273,11671,20257,12716,19645,16008,15415,14400,67874	Hoxb5,Hs3st1,Alox5,Eif2ak3,Fam49a,Hist1h4f,Nr2f1,Hist1h2bc,Kank3,Tdrd7,Klhl8,Hist1h2be,Tpp1,Sh3glb1,Hist1h4c,Igfbp3,Dynlt3,Mycbpap,Dmtn,Mgmt,Tuft1,Dcun1d4,Hist2h3c2,Dab2ip,Alas1,Gal,Rcan1,Hist1h4m,Klhl7,Sult4a1,S100a13,Prkcz,Kcnj4,Hist1h2bj,Espn,Bdnf,Txnrd1,Aldh1a7,Hoxb6,Lpcat2,Slc40a1,Oxr1,Prlr,Msx2,Stau2,Hyal1,Hist1h2bn,Scmh1,Hist1h4i,Sncg,Hist1h2bm,Dcxr,Hoxa5,B3gnt8,Sytl1,Rsph1,Dpysl4,Atp9a,Cox6b2,Cpt1c,Got1l1,Stk17b,Serpinb9g,Anxa5,Cux1,Pon2,Sp6,Slc35c2,Aplp1,Nipa1,Kdsr,Aldh1a1,Selp,Hist1h2bh,Ccnd1,Hoxa2,Svop,Trim45,Hist1h4h,Hist1h4k,Mdfic,Ahi1,Ap3m2,Serinc3,Acaa1b,Sim2,Hist1h4j,Mef2a,Arhgap27,Prl2c3,F11r,Hist1h3g,Serpinb6b,Pfn2,Pomgnt2,Rer1,Dsp,Ddit4l,St3gal5,Tdrp,Npc2,Srprb,Hist1h3d,Rrm2b,Cbr3,Hist1h2bk,Cacna2d1,Rgs5,Hoxc6,Ndrg4,Serpinb2,Aamdc,Aldh3a2,Stmn2,Ckmt1,Rb1,Igfbp2,Hoxb7,Gabrb1,Rprm
GO:0044424	intracellular part	0.000243350077921606	-8.32100950148102	10356	117	0.75	156	16836	15413,15476,11689,13666,319157,13865,68024,80880,100121,246293,319179,12751,54673,319155,16009,67117,104601,13829,17314,22156,100737,97114,69601,11655,14419,54720,100041230,52323,29859,20196,18762,16520,319183,56226,12064,50493,26358,15414,270084,53945,170719,17702,29819,15586,319187,29871,319158,20618,319186,67880,15402,232984,269589,22092,26757,11981,333182,78070,76615,98267,93806,11747,13047,330260,83395,228875,11803,233280,70750,11668,20344,319182,12443,15399,68666,229644,69386,319160,16543,52906,64933,26943,235674,20465,319159,17258,544817,18812,16456,97908,18645,215494,67830,109620,73284,20454,72148,67963,20818,319149,382985,109857,319184,12293,19737,15425,234593,18788,66273,20257,11671,12716,19645,16008,15415,14400,67874	Hoxb5,Hs3st1,Alox5,Eif2ak3,Hist1h4f,Nr2f1,Hist1h2bc,Kank3,Tdrd7,Klhl8,Hist1h2be,Tpp1,Sh3glb1,Hist1h4c,Igfbp3,Dynlt3,Mycbpap,Dmtn,Mgmt,Tuft1,Dcun1d4,Hist2h3c2,Dab2ip,Alas1,Gal,Rcan1,Hist1h4m,Klhl7,Sult4a1,S100a13,Prkcz,Kcnj4,Hist1h2bj,Espn,Bdnf,Txnrd1,Aldh1a7,Hoxb6,Lpcat2,Slc40a1,Oxr1,Msx2,Stau2,Hyal1,Hist1h2bn,Scmh1,Hist1h4i,Sncg,Hist1h2bm,Dcxr,Hoxa5,B3gnt8,Sytl1,Rsph1,Dpysl4,Atp9a,Cox6b2,Cpt1c,Got1l1,Stk17b,Serpinb9g,Anxa5,Cux1,Pon2,Sp6,Slc35c2,Aplp1,Nipa1,Kdsr,Aldh1a1,Selp,Hist1h2bh,Ccnd1,Hoxa2,Svop,Trim45,Hist1h4h,Hist1h4k,Mdfic,Ahi1,Ap3m2,Serinc3,Acaa1b,Sim2,Hist1h4j,Mef2a,Arhgap27,Prl2c3,F11r,Hist1h3g,Pfn2,Pomgnt2,Rer1,Dsp,Ddit4l,St3gal5,Tdrp,Npc2,Srprb,Hist1h3d,Rrm2b,Cbr3,Hist1h2bk,Cacna2d1,Rgs5,Hoxc6,Ndrg4,Serpinb2,Aamdc,Stmn2,Aldh3a2,Ckmt1,Rb1,Igfbp2,Hoxb7,Gabrb1,Rprm
