TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu05322	Systemic lupus erythematosus	1.64254630668699e-16	-36.3451138241176	102	17	0.242857142857143	70	6607	97908,319183,319157,68024,319179,319155,319182,319149,319184,319187,319160,69386,319158,319186,97114,319159,100041230	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h2bh,Hist1h3d,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4j,Hist1h4m
ko05322	Systemic lupus erythematosus	1.64254630668699e-16	-36.3451138241176	102	17	0.242857142857143	70	6607	97908,319183,319157,68024,319179,319155,319182,319149,319184,319187,319160,69386,319158,319186,97114,319159,100041230	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h2bh,Hist1h3d,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4j,Hist1h4m
mmu05034	Alcoholism	5.39794672128447e-15	-32.852757750448	147	18	0.257142857142857	70	6607	97908,319183,319157,68024,12064,319179,319155,319182,319149,319184,319187,319160,69386,319158,319186,97114,319159,100041230	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Bdnf,Hist1h2be,Hist1h4c,Hist1h2bh,Hist1h3d,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4j,Hist1h4m
ko05034	Alcoholism	5.39794672128447e-15	-32.852757750448	147	18	0.257142857142857	70	6607	97908,319183,319157,68024,12064,319179,319155,319182,319149,319184,319187,319160,69386,319158,319186,97114,319159,100041230	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Bdnf,Hist1h2be,Hist1h4c,Hist1h2bh,Hist1h3d,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4j,Hist1h4m
mmu05203	Viral carcinogenesis	2.50499357267395e-10	-22.1075647612057	206	16	0.228571428571429	70	6607	319183,319157,68024,319179,319155,319182,12443,319184,319187,319160,69386,319158,319186,19645,100041230,319159	Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h2bh,Ccnd1,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Rb1,Hist1h4m,Hist1h4j
ko05203	Viral carcinogenesis	2.50499357267395e-10	-22.1075647612057	206	16	0.228571428571429	70	6607	319183,319157,68024,319179,319155,319182,12443,319184,319187,319160,69386,319158,319186,19645,100041230,319159	Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h2bh,Ccnd1,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Rb1,Hist1h4m,Hist1h4j
mmu04142	Lysosome	0.00117985677731557	-6.74236222302742	113	6	0.0857142857142857	70	6607	15586,114128,12751,27419,67963,64933	Hyal1,Laptm4b,Tpp1,Naglu,Npc2,Ap3m2
ko04142	Lysosome	0.00117985677731557	-6.74236222302742	113	6	0.0857142857142857	70	6607	15586,114128,12751,27419,67963,64933	Hyal1,Laptm4b,Tpp1,Naglu,Npc2,Ap3m2
mmu04115	p53 signaling pathway	0.00405966418579359	-5.50665502164811	62	4	0.0571428571428571	70	6607	16009,382985,12443,67874	Igfbp3,Rrm2b,Ccnd1,Rprm
ko04115	p53 signaling pathway	0.00405966418579359	-5.50665502164811	62	4	0.0571428571428571	70	6607	16009,382985,12443,67874	Igfbp3,Rrm2b,Ccnd1,Rprm
ko00071	Fatty acid degradation	0.009732175149632	-4.63231785693222	42	3	0.0428571428571429	70	6607	235674,78070,11671	Acaa1b,Cpt1c,Aldh3a2
mmu00071	Fatty acid degradation	0.009732175149632	-4.63231785693222	42	3	0.0428571428571429	70	6607	235674,78070,11671	Acaa1b,Cpt1c,Aldh3a2
mmu00531	Glycosaminoglycan degradation	0.0204072065184496	-3.89186717980553	21	2	0.0285714285714286	70	6607	15586,27419	Hyal1,Naglu
ko00531	Glycosaminoglycan degradation	0.0204072065184496	-3.89186717980553	21	2	0.0285714285714286	70	6607	15586,27419	Hyal1,Naglu
mmu_M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0.0314536199342384	-3.45924120121168	3	1	0.0142857142857143	70	6607	20454	St3gal5
M00069	Glycosphingolipid biosynthesis, ganglio series, LacCer => GT3	0.0314536199342384	-3.45924120121168	3	1	0.0142857142857143	70	6607	20454	St3gal5
