TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
573389	NoRC negatively regulates rRNA expression	4.8118868570222e-20	-44.4806125747169	66	17	0.261538461538462	65	6134	97908,319183,319157,68024,319179,319155,319149,319182,319184,319187,319160,69386,319158,319186,97114,100041230,319159	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h3d,Hist1h2bh,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4m,Hist1h4j
912497	Meiotic Recombination	4.8118868570222e-20	-44.4806125747169	66	17	0.261538461538462	65	6134	97908,319183,319157,68024,319179,319155,319149,319182,319184,319187,319160,69386,319158,319186,97114,100041230,319159	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h3d,Hist1h2bh,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4m,Hist1h4j
5894138	HDACs deacetylate histones	2.47939458857113e-19	-42.8411023540231	72	17	0.261538461538462	65	6134	97908,319183,319157,68024,319179,319155,319182,319149,319184,319187,319160,69386,319158,319186,97114,319159,100041230	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h2bh,Hist1h3d,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4j,Hist1h4m
1221633	Meiotic Synapsis	1.38670511325822e-18	-41.1196011627647	79	17	0.261538461538462	65	6134	97908,319183,319157,68024,319179,319155,319149,319182,319184,319187,319160,69386,319158,319186,97114,100041230,319159	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h3d,Hist1h2bh,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4m,Hist1h4j
5894128	HATs acetylate histones	4.5196285766127e-16	-35.3329316707528	109	17	0.261538461538462	65	6134	97908,319183,319157,68024,319179,319155,319182,319149,319184,319187,319160,69386,319158,319186,97114,319159,100041230	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h2bh,Hist1h3d,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4j,Hist1h4m
5894121	Chromatin organization	1.01606885816678e-13	-29.9176650882766	175	18	0.276923076923077	65	6134	97908,319183,319157,68024,319179,319155,319182,319149,12443,319184,319187,319160,69386,319158,319186,97114,319159,100041230	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h2bh,Hist1h3d,Ccnd1,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4j,Hist1h4m
5894120	Chromatin modifying enzymes	1.01606885816678e-13	-29.9176650882766	175	18	0.276923076923077	65	6134	97908,319183,319157,68024,319179,319155,319182,319149,12443,319184,319187,319160,69386,319158,319186,97114,319159,100041230	Hist1h3g,Hist1h2bj,Hist1h4f,Hist1h2bc,Hist1h2be,Hist1h4c,Hist1h2bh,Hist1h3d,Ccnd1,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist2h3c2,Hist1h4j,Hist1h4m
5894075	Condensation of Prophase Chromosomes	3.45601605619532e-13	-28.6934897121017	43	11	0.169230769230769	65	6134	97908,319160,69386,319157,319158,97114,19645,319155,319159,100041230,319149	Hist1h3g,Hist1h4k,Hist1h4h,Hist1h4f,Hist1h4i,Hist2h3c2,Rb1,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
5892866	RNA Polymerase I Promoter Opening	9.34472901572434e-13	-27.6987937662178	34	10	0.153846153846154	65	6134	97908,319160,69386,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4k,Hist1h4h,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
5894119	HDMs demethylate histones	9.34472901572434e-13	-27.6987937662178	34	10	0.153846153846154	65	6134	97908,319160,69386,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4k,Hist1h4h,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
5893772	SIRT1 negatively regulates rRNA Expression	3.2599934571041e-12	-26.4492959275752	38	10	0.153846153846154	65	6134	97908,319160,69386,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4k,Hist1h4h,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
5893595	PRC2 methylates histones and DNA	9.81902495920595e-12	-25.3466992898151	42	10	0.153846153846154	65	6134	97908,319160,69386,319157,319158,97114,319155,319159,100041230,319149	Hist1h3g,Hist1h4k,Hist1h4h,Hist1h4f,Hist1h4i,Hist2h3c2,Hist1h4c,Hist1h4j,Hist1h4m,Hist1h3d
