age,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status
23,thin,vegetarian,socially,NA,college/university,white,71,18784.0,student,"berkeley, california",0.0,straight,likes cats,NA,m,pisces,no,"english, german (poorly)",single
40,fit,NA,socially,NA,college/university,white,71,57570.0,construction / craftsmanship,"san francisco, california",0.0,straight,likes dogs,agnosticism but not too serious about it,m,gemini and it&rsquo;s fun to think about,no,"english (okay), french (poorly), spanish (poorly), c++ (okay)",single
31,curvy,anything,socially,never,post-graduate,indian,61,46810.0,law / legal services,"oakland, california",0.0,straight,NA,hinduism but not too serious about it,f,libra and it&rsquo;s fun to think about,no,"english (fluently), hindi (okay), spanish (poorly), french (poorly), sanskrit (poorly)",single
21,fit,anything,rarely,never,college/university,white,71,18776.0,entertainment / media,"san francisco, california",NA,straight,likes dogs and likes cats,catholicism but not too serious about it,m,NA,no,english,single
34,fit,anything,socially,never,post-graduate,white,69,96880.0,executive / management,"san francisco, california",NA,straight,likes dogs and has cats,agnosticism,m,NA,no,"english, other (poorly)",single
29,fit,anything,socially,sometimes,college/university,white,67,39256.0,artistic / musical / writer,"san francisco, california",0.0,straight,likes dogs and likes cats,agnosticism and very serious about it,m,libra,no,english (fluently),single
25,athletic,anything,socially,NA,college/university,white,78,73784.0,sales / marketing / biz dev,"san francisco, california",0.0,straight,likes dogs and likes cats,catholicism and laughing about it,m,aries but it doesn&rsquo;t matter,no,"english (fluently), french (okay)",single
27,fit,NA,socially,NA,college/university,asian,68,1e5,science / tech / engineering,"san francisco, california",NA,straight,likes dogs and likes cats,agnosticism but not too serious about it,m,NA,no,english,single
26,curvy,anything,socially,never,college/university,hispanic / latin,63,19066.0,sales / marketing / biz dev,"berkeley, california",0.0,gay,likes dogs and likes cats,catholicism and laughing about it,f,gemini and it&rsquo;s fun to think about,no,english,single
26,fit,anything,socially,never,college/university,white,68,69657.0,science / tech / engineering,"san francisco, california",0.0,straight,likes dogs,agnosticism and laughing about it,f,sagittarius but it doesn&rsquo;t matter,no,english,single
29,a little extra,halal,often,never,dropped out of high school,white,72,1e5,artistic / musical / writer,"san francisco, california",0.0,straight,has dogs and dislikes cats,hinduism and very serious about it,m,cancer and it matters a lot,sometimes,"english (fluently), croatian (fluently), bengali (okay)",single
