TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00125	Histone	1.49704873873629e-08	-18.0171850814388	32	7	0.0518518518518519	135	14414	97114,97908,319184,319187,319182,68024,319186	Hist2h3c2,Hist1h3g,Hist1h2bk,Hist1h2bn,Hist1h2bh,Hist1h2bc,Hist1h2bm
PF00046	Homeobox	0.000648681237584668	-7.3405691212641	203	8	0.0592592592592593	135	14414	15413,15399,17702,15425,13047,15402,15415,15414	Hoxb5,Hoxa2,Msx2,Hoxc6,Cux1,Hoxa5,Hoxb7,Hoxb6
PF00171	Aldedh	0.000697586144597962	-7.2678845470949	19	3	0.0222222222222222	135	14414	26358,11668,11671	Aldh1a7,Aldh1a1,Aldh3a2
PF00335	Tetraspannin	0.00245674271493569	-6.008918906052	29	3	0.0222222222222222	135	14414	74257,56434,12508	Tspan17,Tspan3,Cd53
PF00219	IGFBP	0.00736051096160194	-4.9116259245204	14	2	0.0148148148148148	135	14414	16008,16009	Igfbp2,Igfbp3
PF00086	Thyroglobulin_1	0.00844110312629383	-4.77464227674754	15	2	0.0148148148148148	135	14414	16008,16009	Igfbp2,Igfbp3
PF00106	adh_short	0.00855752970329722	-4.76094371654087	45	3	0.0222222222222222	135	14414	67880,109857,70750	Dcxr,Cbr3,Kdsr
PF06540	GMAP	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	14419	Gal
PF12004	DUF3498	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	69601	Dab2ip
PF09286	Pro-kuma_activ	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	12751	Tpp1
PF08172	CASP_C	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	13047	Cux1
PF01035	DNA_binding_1	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	17314	Mgmt
PF03248	Rer1	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	67830	Rer1
PF02870	Methyltransf_1N	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	17314	Mgmt
PF09439	SRPRB	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	20818	Srprb
PF09811	Yae1_N	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	72284	Oraov1
PF15316	MDFI	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	16543	Mdfic
PF05089	NAGLU	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	27419	Naglu
PF12972	NAGLU_C	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	27419	Naglu
PF06963	FPN1	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	53945	Slc40a1
PF08473	VGCC_alpha2	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	12293	Cacna2d1
PF12971	NAGLU_N	0.00936589426944237	-4.67068045704787	1	1	0.00740740740740741	135	14414	27419	Naglu
PF00155	Aminotran_1_2	0.0108004393104976	-4.52816846878132	17	2	0.0148148148148148	135	14414	11655,76615	Alas1,Got1l1
PF00079	Serpin	0.0162720768040541	-4.11830471967391	57	3	0.0222222222222222	135	14414	20708,18788,93806	Serpinb6b,Serpinb2,Serpinb9g
PF15010	FAM131	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	78408	Fam131a
PF08934	Rb_C	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	19645	Rb1
PF01387	Synuclein	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	20618	Sncg
PF04430	DUF498	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	66273	Aamdc
PF01296	Galanin	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	14419	Gal
PF15250	Raftlin	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	74013	Rftn2
PF09029	Preseq_ALAS	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	11655	Alas1
PF07809	RTP801_C	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	73284	Ddit4l
PF00268	Ribonuc_red_sm	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	382985	Rrm2b
PF06621	SIM_C	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	20465	Sim2
PF12872	OST-HTH	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	100121	Tdrd7
PF07159	DUF1394	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	76820	Fam49a
PF04577	DUF563	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	215494	Pomgnt2
PF12485	SLY	0.0186447122994177	-3.98219269591193	2	1	0.00740740740740741	135	14414	70097	Sash1
PF02297	COX6B	0.0278372576677584	-3.58137995168096	3	1	0.00740740740740741	135	14414	333182	Cox6b2
PF12924	APP_Cu_bd	0.0278372576677584	-3.58137995168096	3	1	0.00740740740740741	135	14414	11803	Aplp1
PF07502	MANEC	0.0278372576677584	-3.58137995168096	3	1	0.00740740740740741	135	14414	237253	Lrp11
PF01731	Arylesterase	0.0278372576677584	-3.58137995168096	3	1	0.00740740740740741	135	14414	330260	Pon2
