TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr13 A2-A3|13	mouse chr13 A2-A3|13	1.94530150192549e-20	-45.3862848809805	26	13	0.0817610062893082	159	17270	319184,319187,69386,319183,319160,319157,319158,319186,319179,319155,319159,319182,319149	Hist1h2bk,Hist1h2bn,Hist1h4h,Hist1h2bj,Hist1h4k,Hist1h4f,Hist1h4i,Hist1h2bm,Hist1h2be,Hist1h4c,Hist1h4j,Hist1h2bh,Hist1h3d
mouse chr13	mouse chr13	4.62968483105193e-09	-19.1907770422123	588	23	0.144654088050314	159	17270	26421,20708,319183,319157,13865,68024,109620,319179,319155,71690,319182,319149,17702,319184,319187,319160,69386,319158,319186,100041230,93806,319159,18812	Prl2c4,Serpinb6b,Hist1h2bj,Hist1h4f,Nr2f1,Hist1h2bc,Dsp,Hist1h2be,Hist1h4c,Esm1,Hist1h2bh,Hist1h3d,Msx2,Hist1h2bk,Hist1h2bn,Hist1h4k,Hist1h4h,Hist1h4i,Hist1h2bm,Hist1h4m,Serpinb9g,Hist1h4j,Prl2c3
mouse chr11 D|11 59.82 cM	mouse chr11 D|11 59.82 cM	3.0427027240835e-06	-12.7027643835457	4	3	0.0188679245283019	159	17270	15413,15415,15414	Hoxb5,Hoxb7,Hoxb6
mouse chr6 B3|6 25.4 cM	mouse chr6 B3|6 25.4 cM	0.00361108283601247	-5.62374759704064	10	2	0.0125786163522013	159	17270	15399,15402	Hoxa2,Hoxa5
mouse chr1 H2|1 79.43 cM	mouse chr1 H2|1 79.43 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	16456	F11r
mouse chr3 F2.3|3 46.53 cM	mouse chr3 F2.3|3 46.53 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	12508	Cd53
mouse chr5 A2|5 6.56 cM	mouse chr5 A2|5 6.56 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	12293	Cacna2d1
mouse chr16 C4|16 54.58 cM	mouse chr16 C4|16 54.58 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	109857	Cbr3
mouse chr14 B-C|14 20.81 cM	mouse chr14 B-C|14 20.81 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	20618	Sncg
mouse chr13 B1|13 27.84 cM	mouse chr13 B1|13 27.84 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	17702	Msx2
mouse chr3 F1|3 39.06 cM	mouse chr3 F1|3 39.06 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	13638	Efna3
mouse chr9 F1-F2|9 58.17 cM	mouse chr9 F1-F2|9 58.17 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	15586	Hyal1
mouse chr13 A3.3|13 13.78 cM	mouse chr13 A3.3|13 13.78 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	20708	Serpinb6b
mouse chr1 H2|1 76.84 cM	mouse chr1 H2|1 76.84 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	19737	Rgs5
mouse chr1 E2.1|1 50.34 cM	mouse chr1 E2.1|1 50.34 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	18788	Serpinb2
mouse chr5 C3.2|5 38.18 cM	mouse chr5 C3.2|5 38.18 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	14400	Gabrb1
mouse chr15 E2|15 58.06 cM	mouse chr15 E2|15 58.06 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	15425	Hoxc6
mouse chr13 A3.3|13 13.9 cM	mouse chr13 A3.3|13 13.9 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	93806	Serpinb9g
mouse chr7 C|7 36.72 cM	mouse chr7 C|7 36.72 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	17258	Mef2a
mouse chr12 A1.1|12 5.63 cM	mouse chr12 A1.1|12 5.63 cM	0.00920671685019738	-4.6878219689022	1	1	0.00628930817610063	159	17270	76820	Fam49a
