TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR007125	Histone_core_D	8.28327883049511e-09	-18.609026952913	32	7	0.05	140	16317	97114,97908,319184,319187,319182,68024,319186	Hist2h3c2,Hist1h3g,Hist1h2bk,Hist1h2bn,Hist1h2bh,Hist1h2bc,Hist1h2bm
IPR001827	Homeobox_Antennapedia_CS	1.25781608132335e-08	-18.1913037956283	20	6	0.0428571428571429	140	16317	15413,15399,15402,15425,15415,15414	Hoxb5,Hoxa2,Hoxa5,Hoxc6,Hoxb7,Hoxb6
IPR000558	Histone_H2B	1.91849643945524e-08	-17.7691389691495	11	5	0.0357142857142857	140	16317	319184,319187,319182,68024,319186	Hist1h2bk,Hist1h2bn,Hist1h2bh,Hist1h2bc,Hist1h2bm
IPR017995	Homeobox_antennapedia	5.27098913584447e-08	-16.7584627071999	13	5	0.0357142857142857	140	16317	15413,15402,15425,15415,15414	Hoxb5,Hoxa5,Hoxc6,Hoxb7,Hoxb6
IPR009072	Histone-fold	3.72444897662991e-07	-14.8031767358058	54	7	0.05	140	16317	97114,97908,319184,319187,319182,68024,319186	Hist2h3c2,Hist1h3g,Hist1h2bk,Hist1h2bn,Hist1h2bh,Hist1h2bc,Hist1h2bm
IPR020479	Homeobox_metazoa	8.32123052248295e-06	-11.6967004147303	85	7	0.05	140	16317	15413,15399,17702,15402,15425,15415,15414	Hoxb5,Hoxa2,Msx2,Hoxa5,Hoxc6,Hoxb7,Hoxb6
IPR017970	Homeobox_CS	0.000105096608545595	-9.16063054943556	169	8	0.0571428571428571	140	16317	15413,15399,17702,13047,15425,15402,15415,15414	Hoxb5,Hoxa2,Msx2,Cux1,Hoxc6,Hoxa5,Hoxb7,Hoxb6
IPR000164	Histone_H3	0.000218049035767028	-8.43079058575807	3	2	0.0142857142857143	140	16317	97114,97908	Hist2h3c2,Hist1h3g
IPR016160	Ald_DH_CS_CYS	0.000318990838662721	-8.05034817451747	16	3	0.0214285714285714	140	16317	26358,11668,11671	Aldh1a7,Aldh1a1,Aldh3a2
IPR000867	IGFBP-like	0.000384918388903593	-7.86247922302055	17	3	0.0214285714285714	140	16317	16008,71690,16009	Igfbp2,Esm1,Igfbp3
IPR029510	Ald_DH_CS_GLU	0.000384918388903593	-7.86247922302055	17	3	0.0214285714285714	140	16317	26358,11668,11671	Aldh1a7,Aldh1a1,Aldh3a2
IPR016162	Ald_DH_N	0.000541658810521543	-7.52087425562626	19	3	0.0214285714285714	140	16317	26358,11668,11671	Aldh1a7,Aldh1a1,Aldh3a2
